"rhessys_version","tec_file","world_file","world_hdr_file","flow_file","start_date","end_date","output_folder","output_filename","command_options","m","k","m_v","k_v","pa","po","gw1","gw2","dated_seq_data","awks/change.def.epc.livewood_turnover.awk","awks/change.def.epc.alloc_livewoodc_woodc.awk","awks/change.def.epc.branch_turnover.awk","awks/change.def.overstory_height_thresh.awk","awks/change.def.understory_height_thresh.awk","awks/change.def.pspread_loss_rel.awk","awks/change.def.vapor_loss_rel.awk","awks/change.def.biomass_loss_rel_k1.awk","awks/change.def.biomass_loss_rel_k2.awk","awks/change.def.overstory_height_thresh.awk","awks/change.def.understory_height_thresh.awk","awks/change.def.pspread_loss_rel.awk","awks/change.def.vapor_loss_rel.awk","awks/change.def.biomass_loss_rel_k1.awk","awks/change.def.biomass_loss_rel_k2.awk"
"bin/rhessys5.20.fire_off","ws_p300/tecfiles/tec.p300_patch_fire","ws_p300/worldfiles/world.p300_30m_2can_patch_9445.Y1946M10D1H1.state","ws_p300/worldfiles/world.p300_30m_2can_1942_2453.hdr","ws_p300/flowtables/flow.p300_30m_patch_9445","1941 10 1 1","1941 10 15 1","ws_p300/out/p300_patch_fire/","patch_fire","-b -g -c -p",1.792761,1.566492,1.792761,1.566492,7.896941,1.179359,0.168035,0.178753,0.5,0.1,0.9,0.1,8,5,1,1,-10,1,8,5,1,1,-10,1
"bin/rhessys5.20.fire_off","ws_p300/tecfiles/tec.p300_patch_fire","ws_p300/worldfiles/world.p300_30m_2can_patch_9445.Y1951M10D1H1.state","ws_p300/worldfiles/world.p300_30m_2can_1942_2453.hdr","ws_p300/flowtables/flow.p300_30m_patch_9445","1941 10 1 1","1941 10 15 1","ws_p300/out/p300_patch_fire/","patch_fire","-b -g -c -p",1.792761,1.566492,1.792761,1.566492,7.896941,1.179359,0.168035,0.178753,0.5,0.1,0.9,0.1,8,5,1,1,-10,1,8,5,1,1,-10,1
"bin/rhessys5.20.fire_off","ws_p300/tecfiles/tec.p300_patch_fire","ws_p300/worldfiles/world.p300_30m_2can_patch_9445.Y1961M10D1H1.state","ws_p300/worldfiles/world.p300_30m_2can_1942_2453.hdr","ws_p300/flowtables/flow.p300_30m_patch_9445","1941 10 1 1","1941 10 15 1","ws_p300/out/p300_patch_fire/","patch_fire","-b -g -c -p",1.792761,1.566492,1.792761,1.566492,7.896941,1.179359,0.168035,0.178753,0.5,0.1,0.9,0.1,8,5,1,1,-10,1,8,5,1,1,-10,1
"bin/rhessys5.20.fire_off","ws_p300/tecfiles/tec.p300_patch_fire","ws_p300/worldfiles/world.p300_30m_2can_patch_9445.Y1981M10D1H1.state","ws_p300/worldfiles/world.p300_30m_2can_1942_2453.hdr","ws_p300/flowtables/flow.p300_30m_patch_9445","1941 10 1 1","1941 10 15 1","ws_p300/out/p300_patch_fire/","patch_fire","-b -g -c -p",1.792761,1.566492,1.792761,1.566492,7.896941,1.179359,0.168035,0.178753,0.5,0.1,0.9,0.1,8,5,1,1,-10,1,8,5,1,1,-10,1
"bin/rhessys5.20.fire_off","ws_p300/tecfiles/tec.p300_patch_fire","ws_p300/worldfiles/world.p300_30m_2can_patch_9445.Y2021M10D1H1.state","ws_p300/worldfiles/world.p300_30m_2can_1942_2453.hdr","ws_p300/flowtables/flow.p300_30m_patch_9445","1941 10 1 1","1941 10 15 1","ws_p300/out/p300_patch_fire/","patch_fire","-b -g -c -p",1.792761,1.566492,1.792761,1.566492,7.896941,1.179359,0.168035,0.178753,0.5,0.1,0.9,0.1,8,5,1,1,-10,1,8,5,1,1,-10,1
"bin/rhessys5.20.fire_off","ws_p300/tecfiles/tec.p300_patch_fire","ws_p300/worldfiles/world.p300_30m_2can_patch_9445.Y1946M10D1H1.state","ws_p300/worldfiles/world.p300_30m_2can_1942_2453.hdr","ws_p300/flowtables/flow.p300_30m_patch_9445","1941 10 1 1","1941 10 15 1","ws_p300/out/p300_patch_fire/","patch_fire","-b -g -c -p",1.792761,1.566492,1.792761,1.566492,7.896941,1.179359,0.168035,0.178753,0.7,0.1,0.9,0.1,8,5,1,1,-10,1,8,5,1,1,-10,1
"bin/rhessys5.20.fire_off","ws_p300/tecfiles/tec.p300_patch_fire","ws_p300/worldfiles/world.p300_30m_2can_patch_9445.Y1951M10D1H1.state","ws_p300/worldfiles/world.p300_30m_2can_1942_2453.hdr","ws_p300/flowtables/flow.p300_30m_patch_9445","1941 10 1 1","1941 10 15 1","ws_p300/out/p300_patch_fire/","patch_fire","-b -g -c -p",1.792761,1.566492,1.792761,1.566492,7.896941,1.179359,0.168035,0.178753,0.7,0.1,0.9,0.1,8,5,1,1,-10,1,8,5,1,1,-10,1
"bin/rhessys5.20.fire_off","ws_p300/tecfiles/tec.p300_patch_fire","ws_p300/worldfiles/world.p300_30m_2can_patch_9445.Y1961M10D1H1.state","ws_p300/worldfiles/world.p300_30m_2can_1942_2453.hdr","ws_p300/flowtables/flow.p300_30m_patch_9445","1941 10 1 1","1941 10 15 1","ws_p300/out/p300_patch_fire/","patch_fire","-b -g -c -p",1.792761,1.566492,1.792761,1.566492,7.896941,1.179359,0.168035,0.178753,0.7,0.1,0.9,0.1,8,5,1,1,-10,1,8,5,1,1,-10,1
"bin/rhessys5.20.fire_off","ws_p300/tecfiles/tec.p300_patch_fire","ws_p300/worldfiles/world.p300_30m_2can_patch_9445.Y1981M10D1H1.state","ws_p300/worldfiles/world.p300_30m_2can_1942_2453.hdr","ws_p300/flowtables/flow.p300_30m_patch_9445","1941 10 1 1","1941 10 15 1","ws_p300/out/p300_patch_fire/","patch_fire","-b -g -c -p",1.792761,1.566492,1.792761,1.566492,7.896941,1.179359,0.168035,0.178753,0.7,0.1,0.9,0.1,8,5,1,1,-10,1,8,5,1,1,-10,1
"bin/rhessys5.20.fire_off","ws_p300/tecfiles/tec.p300_patch_fire","ws_p300/worldfiles/world.p300_30m_2can_patch_9445.Y2021M10D1H1.state","ws_p300/worldfiles/world.p300_30m_2can_1942_2453.hdr","ws_p300/flowtables/flow.p300_30m_patch_9445","1941 10 1 1","1941 10 15 1","ws_p300/out/p300_patch_fire/","patch_fire","-b -g -c -p",1.792761,1.566492,1.792761,1.566492,7.896941,1.179359,0.168035,0.178753,0.7,0.1,0.9,0.1,8,5,1,1,-10,1,8,5,1,1,-10,1
"bin/rhessys5.20.fire_off","ws_p300/tecfiles/tec.p300_patch_fire","ws_p300/worldfiles/world.p300_30m_2can_patch_9445.Y1946M10D1H1.state","ws_p300/worldfiles/world.p300_30m_2can_1942_2453.hdr","ws_p300/flowtables/flow.p300_30m_patch_9445","1941 10 1 1","1941 10 15 1","ws_p300/out/p300_patch_fire/","patch_fire","-b -g -c -p",1.792761,1.566492,1.792761,1.566492,7.896941,1.179359,0.168035,0.178753,0.9,0.1,0.9,0.1,8,5,1,1,-10,1,8,5,1,1,-10,1
"bin/rhessys5.20.fire_off","ws_p300/tecfiles/tec.p300_patch_fire","ws_p300/worldfiles/world.p300_30m_2can_patch_9445.Y1951M10D1H1.state","ws_p300/worldfiles/world.p300_30m_2can_1942_2453.hdr","ws_p300/flowtables/flow.p300_30m_patch_9445","1941 10 1 1","1941 10 15 1","ws_p300/out/p300_patch_fire/","patch_fire","-b -g -c -p",1.792761,1.566492,1.792761,1.566492,7.896941,1.179359,0.168035,0.178753,0.9,0.1,0.9,0.1,8,5,1,1,-10,1,8,5,1,1,-10,1
"bin/rhessys5.20.fire_off","ws_p300/tecfiles/tec.p300_patch_fire","ws_p300/worldfiles/world.p300_30m_2can_patch_9445.Y1961M10D1H1.state","ws_p300/worldfiles/world.p300_30m_2can_1942_2453.hdr","ws_p300/flowtables/flow.p300_30m_patch_9445","1941 10 1 1","1941 10 15 1","ws_p300/out/p300_patch_fire/","patch_fire","-b -g -c -p",1.792761,1.566492,1.792761,1.566492,7.896941,1.179359,0.168035,0.178753,0.9,0.1,0.9,0.1,8,5,1,1,-10,1,8,5,1,1,-10,1
"bin/rhessys5.20.fire_off","ws_p300/tecfiles/tec.p300_patch_fire","ws_p300/worldfiles/world.p300_30m_2can_patch_9445.Y1981M10D1H1.state","ws_p300/worldfiles/world.p300_30m_2can_1942_2453.hdr","ws_p300/flowtables/flow.p300_30m_patch_9445","1941 10 1 1","1941 10 15 1","ws_p300/out/p300_patch_fire/","patch_fire","-b -g -c -p",1.792761,1.566492,1.792761,1.566492,7.896941,1.179359,0.168035,0.178753,0.9,0.1,0.9,0.1,8,5,1,1,-10,1,8,5,1,1,-10,1
"bin/rhessys5.20.fire_off","ws_p300/tecfiles/tec.p300_patch_fire","ws_p300/worldfiles/world.p300_30m_2can_patch_9445.Y2021M10D1H1.state","ws_p300/worldfiles/world.p300_30m_2can_1942_2453.hdr","ws_p300/flowtables/flow.p300_30m_patch_9445","1941 10 1 1","1941 10 15 1","ws_p300/out/p300_patch_fire/","patch_fire","-b -g -c -p",1.792761,1.566492,1.792761,1.566492,7.896941,1.179359,0.168035,0.178753,0.9,0.1,0.9,0.1,8,5,1,1,-10,1,8,5,1,1,-10,1
